Checkpoint,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1879,-1,-1,-1,-1,-1,-1
ChippyGaming,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1478,-1,-1,-1,-1,-1,-1
ConnorEatsPants,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,959,-1,-1,-1,-1,-1,1193,-1,-1
Craigmeup,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1380,-1,-1,-1,-1,-1,-1
Daltos,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1677,-1,-1,-1,-1,-1,-1
DanTDM,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1789,1918,-1,2114,1810,-1,-1,-1,-1
DraconiteDragon,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1083,-1,-1,-1
Drgluon,677,986,1073,989,1075,-1,724,-1,-1,761,-1,-1,-1,456,-1,-1,-1,706,-1
DrSimonClark,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1172,-1,-1,-1,-1,-1,-1
F1NN5TER,-1,-1,-1,-1,-1,-1,-1,-1,1592,-1,1447,-1,-1,1725,-1,-1,-1,2118,-1
Farrantula,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,342,-1,-1,-1
FionaRiches,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,439,-1,-1,-1,-1,-1,-1
Flabaliki,725,952,1402,1681,1292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
FlorianFunke,2505,2163,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Fundy,-1,-1,-1,-1,-1,2790,3382,1921,2090,-1,2596,2922,-1,2474,2500,-1,2749,2699,-1
Geestargames,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,900,-1,-1,-1,-1,-1,-1
GizzyGazza,-1,-1,1937,1473,-1,-1,1480,-1,1471,-1,-1,1767,-1,-1,-1,2305,-1,-1,-1
GoldenGlare,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,887,-1,-1,-1
Graser10,-1,-1,-1,2008,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Honeydew,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2170,-1,-1,-1,-1,-1,-1
Hrry,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1889,-1,-1,-1,-1,-1,-1
Icklenellierose,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,239,-1,-1,-1
IHasCupquake,1032,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
iicBunnyx,-1,-1,-1,-1,-1,-1,-1,-1,-1,811,-1,-1,-1,-1,-1,-1,-1,-1,-1
iJevin,1654,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Iskall85,-1,-1,-1,-1,2158,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ItsFunneh,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1369,-1,-1,-1
ItsJustOriah,-1,-1,-1,-1,-1,-1,-1,-1,-1,1312,-1,-1,-1,-1,-1,-1,-1,-1,-1
JackSucksAtLife,1208,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
JamesCharles,-1,-1,-1,1101,-1,-1,-1,-1,-1,-1,708,-1,-1,-1,-1,-1,-1,-1,-1
Jameskii,1658,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
JamesTurner,-1,-1,-1,-1,-1,-1,1354,-1,-1,942,-1,-1,-1,734,-1,-1,-1,667,-1
Janedouglas,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,266,-1,-1,-1
JCtheCaster,2614,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
JeromeASF,-1,-1,-1,2173,1813,-1,2543,-1,1671,-1,-1,-1,-1,-1,-1,1808,-1,-1,-1
Jestanii,-1,1493,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
JOEYGRACEFFA,1048,746,1500,1267,-1,-1,-1,347,-1,-1,-1,-1,-1,-1,-1,1574,-1,-1,-1
KatherineElizabeth,-1,1167,1118,1627,-1,1533,-1,1769,-1,-1,1044,-1,-1,1430,1547,-1,-1,-1,-1
Kontuz,-1,-1,-1,-1,-1,-1,-1,-1,-1,941,-1,-1,-1,-1,-1,-1,-1,-1,-1
KreekCraft,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3318,-1,-1,-1
Krinios,-1,1709,2590,2779,2686,2431,3195,2402,-1,2865,1825,-1,-1,2680,-1,-1,1472,-1,-1
Krtzy,3029,2761,2506,3110,2507,-1,2718,3004,3024,-1,2142,-1,-1,3049,2877,-1,2094,2613,-1
LaurenZSide,-1,-1,-1,-1,937,-1,-1,-1,-1,-1,-1,1134,-1,-1,-1,-1,-1,-1,-1
Lazarbeam,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1214,-1,-1,-1
LDShadowLady,1469,1687,1522,-1,-1,917,-1,-1,-1,1862,-1,-1,-1,1365,-1,1739,-1,-1,-1
Leozaur,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1694,-1,-1,-1,-1,-1,-1
LividCoffee,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2037,-1,-1,-1,-1,-1,-1
Ludwig,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1371,-1,-1,-1,-1,-1
M4NGO,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1222,-1,-1,-1,-1,-1,-1
Magistrex,-1,1264,1630,1542,1576,-1,1923,-1,-1,-1,-1,-1,2606,-1,-1,-1,-1,1408,-1
Marielitai,-1,-1,886,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Mefs,-1,2655,-1,-1,2311,3223,-1,2784,2164,-1,-1,-1,-1,2069,-1,2433,-1,-1,-1
Michaelmcchill,2941,2054,1505,2116,1619,2318,1645,2060,-1,2005,-1,1692,-1,-1,-1,-1,1777,-1,-1
MikeChannell,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,299,-1,-1,-1
MiniMuka,-1,2103,-1,1435,-1,1346,-1,1592,-1,-1,1936,-1,-1,-1,-1,-1,-1,-1,-1
Mousie,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1340,-1,-1,-1,-1,-1,-1
Muselk,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1039,-1,-1,-1
MysterySalesman,869,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
